title,rank,date,artist,url,region,chart,trend,streams
Trust Nobody (feat. Selena Gomez & Tory Lanez),154,2017-01-01,Cashmere Cat,https://open.spotify.com/track/2wDjpPW3HZdA9quPPmZAMu,Germany,top200,MOVE_UP,28226
Stronger,155,2017-01-01,Kanye West,https://open.spotify.com/track/6C7RJEIUDqKkJRZVWdkfkH,Germany,top200,MOVE_DOWN,28193
Shout Out to My Ex,156,2017-01-01,Little Mix,https://open.spotify.com/track/0YHUITU3w6ws1v8ehT264g,Germany,top200,MOVE_DOWN,28075
Vanilla Sky,157,2017-01-01,"Hanybal, Nimo",https://open.spotify.com/track/4IT5Mf72LNjw7rzY1jZ1IV,Germany,top200,NEW_ENTRY,27980
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,158,2017-01-01,Eiffel 65,https://open.spotify.com/track/2yAVzRiEQooPEJ9SYx11L3,Germany,top200,MOVE_DOWN,27440
Feel (feat. Sena Sener) - Radio Edit,159,2017-01-01,"Mahmut Orhan, Sena Şener",https://open.spotify.com/track/7Is0OPWVcN8DdZpcNuClcy,Germany,top200,MOVE_DOWN,27265
Love On The Brain,160,2017-01-01,Rihanna,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02,Germany,top200,MOVE_UP,27221
Mambo No. 5 (A Little Bit of...),161,2017-01-01,Lou Bega,https://open.spotify.com/track/3vJG33adGD5Z39Gb6Cnevi,Germany,top200,MOVE_DOWN,26994
Kartell (feat. Azet & Nash),162,2017-01-01,Zuna,https://open.spotify.com/track/2z7IrWdtG3Rx3xA3Zq2yFK,Germany,top200,MOVE_UP,26946
Sing Me to Sleep,163,2017-01-01,Alan Walker,https://open.spotify.com/track/2Fjz5ZC5BvFdCqcnTZ3ilH,Germany,top200,MOVE_UP,26658
Stitches,164,2017-01-01,Shawn Mendes,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q,Germany,top200,SAME_POSITION,26636
Lean On (feat. MØ & DJ Snake),165,2017-01-01,Major Lazer,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,Germany,top200,MOVE_DOWN,26255
Irgendwas (feat. Bengio),166,2017-01-01,Yvonne Catterfeld,https://open.spotify.com/track/3qlF4ENgFTbAbPZfFF9lxt,Germany,top200,MOVE_UP,26178
Let's Hurt Tonight,167,2017-01-01,OneRepublic,https://open.spotify.com/track/1oc4kHthIpfa2jQnIL33GE,Germany,top200,NEW_ENTRY,26137
Wir sind groß,168,2017-01-01,Mark Forster,https://open.spotify.com/track/0bZcstGSV52WWUR8WkrW5p,Germany,top200,MOVE_DOWN,25947
Du bist schön,169,2017-01-01,Alligatoah,https://open.spotify.com/track/5iYe4mt1bf1KVzVM8EY6y8,Germany,top200,MOVE_UP,25616
Love Me,170,2017-01-01,Jane XØ,https://open.spotify.com/track/1kFJTEnAvJ70S5mXplUAFR,Germany,top200,MOVE_DOWN,25580
Find You (feat. Jake Reese),171,2017-01-01,Topic,https://open.spotify.com/track/64qGiwJq4tO4wrxiY9CWjE,Germany,top200,MOVE_DOWN,25533
Sugar (feat. Francesco Yates),172,2017-01-01,Robin Schulz,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w,Germany,top200,MOVE_DOWN,25076
Love$ick (feat. A$AP Rocky),173,2017-01-01,Mura Masa,https://open.spotify.com/track/7Kq16WtEJzdRSNQgdXsn7Y,Germany,top200,MOVE_UP,25022
Fast Life,174,2017-01-01,Azet,https://open.spotify.com/track/2oW8pBaoHKnG2zf7auryUH,Germany,top200,NEW_ENTRY,25001
"How Far I'll Go - From ""Moana""",175,2017-01-01,Alessia Cara,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,Germany,top200,MOVE_DOWN,24863
80 Millionen,176,2017-01-01,Max Giesinger,https://open.spotify.com/track/14SZQ3k55sfzGLuv9WZ4Xe,Germany,top200,NEW_ENTRY,24763
Attackieren,177,2017-01-01,"Bonez MC, RAF Camora, Hanybal",https://open.spotify.com/track/1mEboo42f3Pt5BSPCtogYr,Germany,top200,NEW_ENTRY,24579
False Alarm,178,2017-01-01,"Matoma, Becky Hill",https://open.spotify.com/track/7gZQfdEQpmwAoPHSbEHzms,Germany,top200,MOVE_DOWN,24322
Without Me,179,2017-01-01,Eminem,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk,Germany,top200,NEW_ENTRY,23978
Cool Girl,180,2017-01-01,Tove Lo,https://open.spotify.com/track/5dKyZWlgjWw1oJgLa4GCZD,Germany,top200,MOVE_DOWN,23780
Wieder vereint,181,2017-01-01,"LX, Maxwell",https://open.spotify.com/track/2wClcS0uXRVwUhuZBIVpQp,Germany,top200,NEW_ENTRY,23763
Spirits,182,2017-01-01,The Strumbellas,https://open.spotify.com/track/2H6dHxAxGq5oQ9EiinNpXT,Germany,top200,NEW_ENTRY,23717
Pocahontas,183,2017-01-01,AnnenMayKantereit,https://open.spotify.com/track/140GdyvzODCuH2w5oL8F4e,Germany,top200,NEW_ENTRY,23607
Controlla,184,2017-01-01,Drake,https://open.spotify.com/track/6F609ICg9Spjrw1epsAnpa,Germany,top200,NEW_ENTRY,23564
Masafaka,185,2017-01-01,Sido,https://open.spotify.com/track/1QGj4FP9nmxnBsbc17oKHE,Germany,top200,NEW_ENTRY,23562
Roses (feat. ROZES),186,2017-01-01,The Chainsmokers,https://open.spotify.com/track/6O6M7pJLABmfBRoGZMu76Y,Germany,top200,MOVE_DOWN,23388
Nero,187,2017-01-01,Kollegah,https://open.spotify.com/track/0KlOfCE4H3eldPqsKVLK3Z,Germany,top200,NEW_ENTRY,23215
Gangsta's Paradise (feat. L.V.),188,2017-01-01,Coolio,https://open.spotify.com/track/3u9fHuAtjMY1RW2mZfO4Cf,Germany,top200,MOVE_UP,23212
Lass sie tanzen (Square Dance) [feat. Namika],189,2017-01-01,Ali As,https://open.spotify.com/track/7ee58VnJwqYvUX8kOJftmo,Germany,top200,MOVE_DOWN,23156
Erblindet,190,2017-01-01,"Bonez MC, RAF Camora",https://open.spotify.com/track/1WVnR5tOzd9oMVEAkBvPxH,Germany,top200,NEW_ENTRY,23075
American Express (feat. Farid Bang),191,2017-01-01,Kollegah,https://open.spotify.com/track/2a9yoHHUk5dRdq5GU8KvU2,Germany,top200,NEW_ENTRY,22882
Mr. Brightside,192,2017-01-01,The Killers,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN,Germany,top200,MOVE_DOWN,22875
Hurra die Welt geht unter,193,2017-01-01,"K.I.Z, Henning May",https://open.spotify.com/track/3NIDOSThELMihLSOMZcL4k,Germany,top200,NEW_ENTRY,22788
Ich brauch Dich,194,2017-01-01,KC Rebell,https://open.spotify.com/track/3Ex4kKTk1Xz09olihl9E2w,Germany,top200,NEW_ENTRY,22504
Don't Stop Believin',195,2017-01-01,Journey,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue,Germany,top200,NEW_ENTRY,22498
Ciao Ciao,196,2017-01-01,"Bonez MC, RAF Camora",https://open.spotify.com/track/7g4ZuevZdAZh4EDrJG1S4X,Germany,top200,NEW_ENTRY,22467
Hakuna Matata,197,2017-01-01,Maxwell,https://open.spotify.com/track/6ME3MgyTvEF082QdPuJFbK,Germany,top200,NEW_ENTRY,22409
Billie Jean,198,2017-01-01,Michael Jackson,https://open.spotify.com/track/5ChkMS8OtdzJeqyybCc9R5,Germany,top200,MOVE_DOWN,22376
Paper,199,2017-01-01,KC Rebell,https://open.spotify.com/track/26H7SNTmq9QjiCQ0qpB6qm,Germany,top200,NEW_ENTRY,22329
'Till I Collapse,200,2017-01-01,"Eminem, Nate Dogg",https://open.spotify.com/track/6yr8GiTHWvFfi4o6Q5ebdT,Germany,top200,NEW_ENTRY,22321
Starboy,1,2017-01-01,"The Weeknd, Daft Punk",https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,Global,top200,SAME_POSITION,3135625
Closer,2,2017-01-01,"The Chainsmokers, Halsey",https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,Global,top200,SAME_POSITION,3015525
Let Me Love You,3,2017-01-01,"DJ Snake, Justin Bieber",https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,Global,top200,MOVE_UP,2545384
Rockabye (feat. Sean Paul & Anne-Marie),4,2017-01-01,Clean Bandit,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,Global,top200,MOVE_DOWN,2356604
One Dance,5,2017-01-01,"Drake, WizKid, Kyla",https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,Global,top200,SAME_POSITION,2259887
Fake Love,6,2017-01-01,Drake,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,Global,top200,MOVE_UP,2137437
24K Magic,7,2017-01-01,Bruno Mars,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,Global,top200,SAME_POSITION,2111599
Don't Wanna Know,8,2017-01-01,"Maroon 5, Kendrick Lamar",https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,Global,top200,MOVE_DOWN,2107137
Black Beatles,9,2017-01-01,"Rae Sremmurd, Gucci Mane",https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,Global,top200,MOVE_DOWN,2075732
I Feel It Coming,10,2017-01-01,"The Weeknd, Daft Punk",https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,Global,top200,MOVE_DOWN,1949575
Chantaje (feat. Maluma),11,2017-01-01,Shakira,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,Global,top200,MOVE_UP,1893214
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",12,2017-01-01,"ZAYN, Taylor Swift",https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,Global,top200,SAME_POSITION,1857252
Say You Won't Let Go,13,2017-01-01,James Arthur,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,Global,top200,SAME_POSITION,1812335
Bad and Boujee (feat. Lil Uzi Vert),14,2017-01-01,Migos,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,Global,top200,MOVE_UP,1801707
Cold Water (feat. Justin Bieber & MØ),15,2017-01-01,Major Lazer,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,Global,top200,MOVE_DOWN,1731191
In the Name of Love,16,2017-01-01,"Martin Garrix, Bebe Rexha",https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,Global,top200,SAME_POSITION,1647944
Side To Side,17,2017-01-01,"Ariana Grande, Nicki Minaj",https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,Global,top200,MOVE_UP,1527676
Call On Me - Ryan Riback Extended Remix,18,2017-01-01,Starley,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,Global,top200,MOVE_DOWN,1507320
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",19,2017-01-01,Justin Timberlake,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,Global,top200,MOVE_DOWN,1480601
Don't Let Me Down (feat. Daya),20,2017-01-01,The Chainsmokers,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,Global,top200,MOVE_UP,1438471
Treat You Better,21,2017-01-01,Shawn Mendes,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,Global,top200,MOVE_UP,1409430
Just Hold On,22,2017-01-01,"Steve Aoki, Louis Tomlinson",https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,Global,top200,MOVE_DOWN,1375005
My Way,23,2017-01-01,Calvin Harris,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,Global,top200,MOVE_DOWN,1341827
Starving,24,2017-01-01,"Hailee Steinfeld, Grey, Zedd",https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,Global,top200,SAME_POSITION,1338596
Bad Things (with Camila Cabello),25,2017-01-01,Machine Gun Kelly,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,Global,top200,MOVE_UP,1257334
Heathens,26,2017-01-01,Twenty One Pilots,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,Global,top200,MOVE_UP,1255839
Cheap Thrills,27,2017-01-01,Sia,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,Global,top200,MOVE_DOWN,1238279
All We Know,28,2017-01-01,"The Chainsmokers, Phoebe Ryan",https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,Global,top200,MOVE_DOWN,1238138
Mercy,29,2017-01-01,Shawn Mendes,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,Global,top200,SAME_POSITION,1215550
Reggaetón Lento (Bailemos),30,2017-01-01,CNCO,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,Global,top200,MOVE_UP,1164530
Broccoli (feat. Lil Yachty),31,2017-01-01,Shelley FKA DRAM,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol,Global,top200,MOVE_UP,1149938
