,Song,Artist,pos,neu,neg,Sentiment
72,Pasarla Bien,Marama,4.081632653061225,93.87755102040816,2.0408163265306123,Positive
73,No Llores,LOAN,12.76595744680851,80.85106382978722,6.382978723404255,Positive
74,Would I Lie to You - Radio Edit,"David Guetta, Cedric Gervais, Chris Willis",0.0,0.0,0.0,
75,I Feel It Coming,"The Weeknd, Daft Punk",0.0,0.0,0.0,
76,Baila Conmigo,"Juan Magï¿½n, Luciana",0.0,100.0,0.0,Neutral
77,Una Cerveza,Rafaga,0.0,0.0,0.0,
78,Me Ama Me Odia,"Ozuna, Cosculluela, Revol",0.8849557522123894,96.46017699115043,2.6548672566371683,Negative
79,Just Hold On,"Steve Aoki, Louis Tomlinson",14.583333333333334,85.41666666666666,0.0,Positive
80,Side To Side,"Ariana Grande, Nicki Minaj",2.4691358024691357,88.88888888888889,8.641975308641975,Negative
81,Bailame Despacio,"Xantos, Dynell",0.0,94.44444444444444,5.555555555555555,Negative
82,Todo Comenz Bailando,Marama,0.0,100.0,0.0,Neutral
83,Cheap Thrills Remix (feat. Nicky Jam),Sia,20.253164556962027,78.48101265822784,1.2658227848101267,Positive
84,Se Pone Loca,"CantoParaBailar, Lucas Sugo",0.0,0.0,0.0,
85,Cheap Thrills,Sia,29.03225806451613,70.96774193548387,0.0,Positive
86,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,0.0,0.0,0.0,
87,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,0.0,0.0,0.0,
88,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)","Ozuna, Bad Bunny, Farruko, ï¿½engo Flow",0.0,0.0,0.0,
89,Pjaro Cantor,Abel Pintos,0.0,0.0,0.0,
90,Hasta Que Se Seque el Malecn (feat. Farruko) - Remix,Jacob Forever,0.0,0.0,0.0,
91,Amor y dolor,"Carlos Baute, Alexis y Fido",14.893617021276595,84.04255319148936,1.0638297872340425,Positive
92,Si Te Vas,Agapornis,0.0,0.0,0.0,
93,Papi Shampu,Papichamp,0.0,0.0,0.0,
94,Ruleta Rusa,Kevin Roldan,0.0,98.64864864864865,1.3513513513513513,Negative
